deeplab


miniworld tensor([87.0998, 96.4908])

potsdam/test/ tensor([90.9678, 95.9905])
christchurch/test/ tensor([90.2803, 98.3708])
toulouse/test/ tensor([85.9919, 95.4067])
austin/test/ tensor([87.9044, 96.9113])
chicago/test/ tensor([84.0848, 93.2976])
kitsap/test/ tensor([82.3305, 97.8481])
tyrol-w/test/ tensor([89.0247, 98.4909])
vienna/test/ tensor([86.8489, 94.4930])
bruges/test/ tensor([85.1390, 96.2435])
Arlington/test/ tensor([82.4862, 96.3854])
Austin/test/ tensor([89.9771, 96.8835])
DC/test/ tensor([84.1636, 92.2781])
NewYork/test/ tensor([85.0451, 94.4517])
SanFrancisco/test/ tensor([84.3737, 91.8593])
Atlanta/test/ tensor([86.9600, 95.7653])
NewHaven/test/ tensor([76.6778, 93.4400])
Norfolk/test/ tensor([86.6116, 97.0644])
Seekonk/test/ tensor([85.7630, 98.6214])
miniworld tensor([87.2428, 96.5449])

potsdam/test/ tensor([91.3015, 96.1753])
christchurch/test/ tensor([91.6304, 98.6491])
toulouse/test/ tensor([87.2330, 95.8851])
austin/test/ tensor([88.1181, 96.9972])
chicago/test/ tensor([84.2892, 93.3760])
kitsap/test/ tensor([83.2453, 98.0158])
tyrol-w/test/ tensor([89.4906, 98.5753])
vienna/test/ tensor([87.0803, 94.6134])
bruges/test/ tensor([85.4865, 96.5030])
Arlington/test/ tensor([83.9605, 96.8415])
Austin/test/ tensor([90.3060, 97.0203])
DC/test/ tensor([81.0175, 90.4479])
NewYork/test/ tensor([86.3771, 95.1488])
SanFrancisco/test/ tensor([84.6415, 92.0547])
Atlanta/test/ tensor([85.8973, 95.3898])
NewHaven/test/ tensor([76.6070, 93.4655])
Norfolk/test/ tensor([87.6588, 97.3913])
Seekonk/test/ tensor([86.7311, 98.7525])
miniworld tensor([87.6697, 96.6937])
